index,left,top,right,bottom,section,line,content
0,79.875,210.0,104.875,320.0,,0,R
1,104.4375,210.0,127.4375,320.0,,0,e
2,127.59375,210.0,146.59375,320.0,,0,s
3,146.15625,210.0,169.15625,320.0,,0,e
4,169.59375,210.0,191.59375,320.0,,0,a
5,191.109375,210.0,208.109375,320.0,,0,r
6,207.515625,210.0,226.515625,320.0,,0,c
7,226.234375,210.0,251.234375,320.0,,0,h
8,250.796875,210.0,273.796875,320.0,,0,e
9,273.3125,210.0,290.3125,320.0,,0,r
10,290.46875,210.0,309.46875,320.0,,0,s
11,309.875,210.0,319.875,320.0,,0, 
12,319.46875,210.0,344.46875,320.0,,0,b
13,344.03125,210.0,367.03125,320.0,,0,e
14,367.34375,210.0,377.34375,320.0,,0,l
15,377.65625,210.0,387.65625,320.0,,0,i
16,387.21875,210.0,410.21875,320.0,,0,e
17,408.734375,210.0,429.734375,320.0,,0,v
18,429.296875,210.0,452.296875,320.0,,0,e
19,452.703125,210.0,462.703125,320.0,,0, 
20,462.9375,210.0,484.9375,320.0,,0,E
21,484.453125,210.0,501.453125,320.0,,0,r
22,500.25,210.0,525.25,320.0,,0,d
23,525.65625,210.0,562.65625,320.0,,0,m
24,563.09375,210.0,585.09375,320.0,,0,a
25,584.8125,210.0,609.8125,320.0,,0,n
26,609.53125,210.0,634.53125,320.0,,0,n
27,634.125,210.0,641.125,320.0,,0,’
28,640.078125,210.0,659.078125,320.0,,0,s
29,659.484375,210.0,669.484375,320.0,,0, 
30,669.078125,210.0,694.078125,320.0,,0,g
31,693.59375,210.0,710.59375,320.0,,0,r
32,710.234375,210.0,732.234375,320.0,,0,a
33,731.953125,210.0,756.953125,320.0,,0,n
34,756.546875,210.0,781.546875,320.0,,0,d
35,779.3125,210.0,795.3125,320.0,,0,f
36,795.75,210.0,817.75,320.0,,0,a
37,818.1875,210.0,832.1875,320.0,,0,t
38,831.90625,210.0,856.90625,320.0,,0,h
39,856.46875,210.0,879.46875,320.0,,0,e
40,878.984375,210.0,895.984375,320.0,,0,r
41,889.296875,210.0,900.296875,320.0,,0,","
42,900.703125,210.0,910.703125,320.0,,0, 
43,910.578125,210.0,935.578125,320.0,,0,R
44,935.890625,210.0,945.890625,320.0,,0,i
45,946.09375,210.0,965.09375,320.0,,0,c
46,964.8125,210.0,989.8125,320.0,,0,h
47,990.25,210.0,1012.25,320.0,,0,a
48,1011.765625,210.0,1028.765625,320.0,,0,r
49,1027.5625,210.0,1052.5625,320.0,,0,d
50,1052.96875,210.0,1062.96875,320.0,,0, 
51,1063.171875,210.0,1087.171875,320.0,,0,P
52,1087.484375,210.0,1097.484375,320.0,,0,l
53,1097.921875,210.0,1119.921875,320.0,,0,a
54,1120.359375,210.0,1134.359375,320.0,,0,t
55,1134.15625,210.0,1153.15625,320.0,,0,z
56,1152.875,210.0,1163.875,320.0,,0,","
57,1164.28125,210.0,1174.28125,320.0,,0, 
58,1174.71875,210.0,1188.71875,320.0,,0,t
59,1188.4375,210.0,1213.4375,320.0,,0,h
60,1212.953125,210.0,1229.953125,320.0,,0,r
61,1228.71875,210.0,1251.71875,320.0,,0,e
62,1251.359375,210.0,1282.359375,320.0,,0,w
63,1282.765625,210.0,1292.765625,320.0,,0, 
64,1293.203125,210.0,1307.203125,320.0,,0,t
65,1306.921875,210.0,1331.921875,320.0,,0,h
66,1331.484375,210.0,1354.484375,320.0,,0,e
67,1354.890625,210.0,1364.890625,320.0,,0, 
68,1364.484375,210.0,1389.484375,320.0,,0,b
69,1389.6875,210.0,1413.6875,320.0,,0,o
70,1414.125,210.0,1428.125,320.0,,0,t
71,1428.5625,210.0,1442.5625,320.0,,0,t
72,1442.875,210.0,1452.875,320.0,,0,l
73,1452.4375,210.0,1475.4375,320.0,,0,e
74,1475.84375,210.0,1485.84375,320.0,,0, 
75,1486.15625,210.0,1496.15625,320.0,,0,i
76,1495.875,210.0,1520.875,320.0,,0,n
77,1521.28125,210.0,1531.28125,320.0,,0, 
78,1531.71875,210.0,1545.71875,320.0,,0,t
79,1545.4375,210.0,1570.4375,320.0,,0,h
80,1570.0,210.0,1593.0,320.0,,0,e
81,1593.40625,210.0,1603.40625,320.0,,0, 
82,1603.5625,210.0,1622.5625,320.0,,0,s
83,1622.125,210.0,1645.125,320.0,,0,e
84,1645.5625,210.0,1667.5625,320.0,,0,a
85,1667.96875,210.0,1677.96875,320.0,,0, 
86,1678.40625,210.0,1709.40625,320.0,,0,w
87,1709.125,210.0,1734.125,320.0,,0,h
88,1734.4375,210.0,1744.4375,320.0,,0,i
89,1744.75,210.0,1754.75,320.0,,0,l
90,1754.3125,210.0,1777.3125,320.0,,0,e
91,1777.71875,210.0,1787.71875,320.0,,0, 
92,1787.921875,210.0,1811.921875,320.0,,0,o
93,1811.640625,210.0,1836.640625,320.0,,0,n
94,1837.046875,210.0,1847.046875,320.0,,0, 
95,1847.484375,210.0,1869.484375,320.0,,0,a
96,79.71875,320.0,104.71875,430.0,,1,h
97,105.03125,320.0,115.03125,430.0,,1,i
98,115.390625,320.0,136.390625,430.0,,1,k
99,135.953125,320.0,158.953125,430.0,,1,e
100,159.359375,320.0,169.359375,430.0,,1, 
101,169.796875,320.0,200.796875,430.0,,1,w
102,201.109375,320.0,211.109375,430.0,,1,i
103,211.546875,320.0,225.546875,430.0,,1,t
104,225.265625,320.0,250.265625,430.0,,1,h
105,250.671875,320.0,260.671875,430.0,,1, 
106,261.109375,320.0,283.109375,430.0,,1,a
107,283.515625,320.0,293.515625,430.0,,1, 
108,293.234375,320.0,318.234375,430.0,,1,n
109,318.671875,320.0,340.671875,430.0,,1,a
110,341.109375,320.0,355.109375,430.0,,1,t
111,354.828125,320.0,379.828125,430.0,,1,u
112,379.34375,320.0,396.34375,430.0,,1,r
113,395.109375,320.0,418.109375,430.0,,1,e
114,418.515625,320.0,428.515625,430.0,,1, 
115,428.953125,320.0,450.953125,430.0,,1,a
116,450.546875,320.0,475.546875,430.0,,1,p
117,475.140625,320.0,500.140625,430.0,,1,p
