index,left,top,right,bottom,section,line,content
105,310.734375,613.5,446.0,697.5,,6,receiving
106,446.0,613.5,500.40625,697.5,,6,the
107,500.40625,613.5,609.375,697.5,,6,bottled
108,609.375,613.5,751.3046875,697.5,,6,"message,"
109,751.3046875,613.5,808.9453125,697.5,,6,she
110,808.9453125,613.5,873.859375,697.5,,6,said
111,873.859375,613.5,938.9609375,697.5,,6,that
112,938.9609375,613.5,996.1875,697.5,,6,she
113,996.1875,613.5,1094.8203125,697.5,,6,hoped
114,1094.8203125,613.5,1193.546875,697.5,,6,others
115,1193.546875,613.5,1287.796875,697.5,,6,would
116,1287.796875,613.5,1343.546875,697.5,,6,not
117,1343.546875,613.5,1446.796875,697.5,,6,repeat
118,51.78125,697.5,133.453125,781.5,,7,what
119,133.453125,697.5,189.5625,781.5,,7,her
120,189.5625,697.5,366.8125,781.5,,7,grandfather
121,366.8125,697.5,428.890625,781.5,,7,had
122,428.890625,697.5,508.453125,781.5,,7,done
123,508.453125,697.5,570.078125,781.5,,7,and
124,570.078125,697.5,660.5,781.5,,7,throw
125,660.5,697.5,765.15625,781.5,,7,bottles
126,765.15625,697.5,833.875,781.5,,7,with
127,833.875,697.5,981.8125,781.5,,7,messages
128,981.8125,697.5,1044.921875,781.5,,7,into
129,1044.921875,697.5,1099.2890625,781.5,,7,the
130,1099.2890625,697.5,1162.953125,781.5,,7,sea.
131,1162.953125,697.5,1272.3125,781.5,,7,"“Today,"
132,1272.3125,697.5,1326.6796875,781.5,,7,the
133,1326.6796875,697.5,1382.28125,781.5,,7,sea
134,1382.28125,697.5,1416.21875,781.5,,7,is
135,52.578125,781.5,95.5859375,865.5,,8,so
136,95.5859375,781.5,148.6328125,865.5,,8,full
137,148.6328125,781.5,185.0078125,865.5,,8,of
138,185.0078125,781.5,225.171875,865.5,,8,so
139,225.171875,781.5,311.890625,865.5,,8,many
140,311.890625,781.5,416.671875,865.5,,8,bottles
141,416.671875,781.5,478.578125,865.5,,8,and
142,478.578125,781.5,594.59375,865.5,,8,rubbish
143,594.59375,781.5,659.53125,865.5,,8,that
144,659.53125,781.5,742.4140625,865.5,,8,more
145,742.4140625,781.5,880.390625,865.5,,8,shouldn’t
146,880.390625,781.5,923.25,865.5,,8,be
147,923.25,781.5,1031.859375,865.5,,8,thrown
148,1031.859375,781.5,1065.984375,865.5,,8,in
149,1065.984375,781.5,1167.8828125,865.5,,8,"there,“"
150,1167.8828125,781.5,1225.5234375,865.5,,8,she
151,1225.5234375,781.5,1302.46875,865.5,,8,said.
