index,left,top,right,bottom,section,line,content
0,59.6875,235.5,76.6875,319.5,,0,T
1,76.234375,235.5,95.234375,319.5,,0,h
2,95.15625,235.5,112.15625,319.5,,0,e
3,111.953125,235.5,119.953125,319.5,,0, 
4,120.40625,235.5,138.40625,319.5,,0,b
5,138.796875,235.5,150.796875,319.5,,0,r
6,150.359375,235.5,168.359375,319.5,,0,o
7,167.34375,235.5,191.34375,319.5,,0,w
8,190.890625,235.5,209.890625,319.5,,0,n
9,209.6875,235.5,217.6875,319.5,,0, 
10,218.140625,235.5,236.140625,319.5,,0,b
11,236.0625,235.5,253.0625,319.5,,0,e
12,252.984375,235.5,269.984375,319.5,,0,e
13,270.375,235.5,282.375,319.5,,0,r
14,282.171875,235.5,290.171875,319.5,,0, 
15,290.625,235.5,308.625,319.5,,0,b
16,308.78125,235.5,326.78125,319.5,,0,o
17,326.609375,235.5,337.609375,319.5,,0,t
18,337.4375,235.5,348.4375,319.5,,0,t
19,348.171875,235.5,356.171875,319.5,,0,l
20,356.09375,235.5,373.09375,319.5,,0,e
21,373.140625,235.5,381.140625,319.5,,0,","
22,380.9375,235.5,388.9375,319.5,,0, 
23,388.515625,235.5,412.515625,319.5,,0,w
24,412.0625,235.5,431.0625,319.5,,0,h
25,430.796875,235.5,438.796875,319.5,,0,i
26,439.203125,235.5,453.203125,319.5,,0,c
27,452.75,235.5,471.75,319.5,,0,h
28,471.546875,235.5,479.546875,319.5,,0, 
29,479.09375,235.5,498.09375,319.5,,0,h
30,497.921875,235.5,514.921875,319.5,,0,a
31,515.375,235.5,533.375,319.5,,0,d
32,533.171875,235.5,541.171875,319.5,,0, 
33,541.625,235.5,559.625,319.5,,0,b
34,559.546875,235.5,576.546875,319.5,,0,e
35,576.46875,235.5,593.46875,319.5,,0,e
36,593.015625,235.5,612.015625,319.5,,0,n
37,611.8125,235.5,619.8125,319.5,,0, 
38,619.546875,235.5,627.546875,319.5,,0,i
39,627.09375,235.5,646.09375,319.5,,0,n
40,645.890625,235.5,653.890625,319.5,,0, 
41,653.71875,235.5,664.71875,319.5,,0,t
42,664.265625,235.5,683.265625,319.5,,0,h
43,683.1875,235.5,700.1875,319.5,,0,e
44,699.984375,235.5,707.984375,319.5,,0, 
45,707.5625,235.5,731.5625,319.5,,0,w
46,731.390625,235.5,748.390625,319.5,,0,a
47,748.21875,235.5,759.21875,319.5,,0,t
48,759.140625,235.5,776.140625,319.5,,0,e
49,776.53125,235.5,788.53125,319.5,,0,r
50,788.328125,235.5,796.328125,319.5,,0, 
51,794.640625,235.5,806.640625,319.5,,0,f
52,806.796875,235.5,824.796875,319.5,,0,o
53,825.1875,235.5,837.1875,319.5,,0,r
54,836.984375,235.5,844.984375,319.5,,0, 
55,845.140625,235.5,862.140625,319.5,,0,1
56,862.296875,235.5,879.296875,319.5,,0,0
57,879.453125,235.5,896.453125,319.5,,0,1
58,896.25,235.5,904.25,319.5,,0, 
59,903.546875,235.5,919.546875,319.5,,0,y
60,919.46875,235.5,936.46875,319.5,,0,e
61,936.296875,235.5,953.296875,319.5,,0,a
62,953.6875,235.5,965.6875,319.5,,0,r
63,966.0625,235.5,980.0625,319.5,,0,s
64,980.109375,235.5,988.109375,319.5,,0,","
65,987.90625,235.5,995.90625,319.5,,0, 
66,995.484375,235.5,1019.484375,319.5,,0,w
67,1019.3125,235.5,1036.3125,319.5,,0,a
68,1036.6875,235.5,1050.6875,319.5,,0,s
69,1050.484375,235.5,1058.484375,319.5,,0, 
70,1056.796875,235.5,1068.796875,319.5,,0,f
71,1068.953125,235.5,1086.953125,319.5,,0,o
72,1086.5,235.5,1105.5,319.5,,0,u
73,1105.046875,235.5,1124.046875,319.5,,0,n
74,1124.5,235.5,1142.5,319.5,,0,d
75,1142.296875,235.5,1150.296875,319.5,,0, 
76,1150.03125,235.5,1158.03125,319.5,,0,i
77,1157.578125,235.5,1176.578125,319.5,,0,n
78,1176.375,235.5,1184.375,319.5,,0, 
79,1184.203125,235.5,1195.203125,319.5,,0,t
80,1194.75,235.5,1213.75,319.5,,0,h
81,1213.671875,235.5,1230.671875,319.5,,0,e
82,1230.46875,235.5,1238.46875,319.5,,0, 
83,1238.875,235.5,1252.875,319.5,,0,c
84,1252.703125,235.5,1269.703125,319.5,,0,a
85,1269.53125,235.5,1280.53125,319.5,,0,t
86,1280.9375,235.5,1294.9375,319.5,,0,c
87,1294.484375,235.5,1313.484375,319.5,,0,h
88,1313.28125,235.5,1321.28125,319.5,,0, 
89,1321.4375,235.5,1339.4375,319.5,,0,o
90,1337.75,235.5,1349.75,319.5,,0,f
91,59.5625,319.5,78.5625,403.5,,1,K
92,78.71875,319.5,96.71875,403.5,,1,o
93,96.265625,319.5,115.265625,403.5,,1,n
94,115.65625,319.5,127.65625,403.5,,1,r
95,126.890625,319.5,143.890625,403.5,,1,a
96,144.34375,319.5,162.34375,403.5,,1,d
97,162.140625,319.5,170.140625,403.5,,1, 
98,169.703125,319.5,185.703125,403.5,,1,F
99,185.4375,319.5,193.4375,403.5,,1,i
100,193.8125,319.5,207.8125,403.5,,1,s
101,208.21875,319.5,222.21875,403.5,,1,c
102,221.765625,319.5,240.765625,403.5,,1,h
103,240.6875,319.5,257.6875,403.5,,1,e
104,258.078125,319.5,270.078125,403.5,,1,r
105,265.328125,319.5,273.328125,403.5,,1,","
106,273.125,319.5,281.125,403.5,,1, 
107,280.953125,319.5,297.953125,403.5,,1,a
108,297.75,319.5,305.75,403.5,,1, 
109,304.0625,319.5,316.0625,403.5,,1,f
110,315.8125,319.5,323.8125,403.5,,1,i
111,324.1875,319.5,338.1875,403.5,,1,s
112,337.734375,319.5,356.734375,403.5,,1,h
113,356.65625,319.5,373.65625,403.5,,1,e
114,374.046875,319.5,386.046875,403.5,,1,r
115,386.09375,319.5,414.09375,403.5,,1,m
116,413.921875,319.5,430.921875,403.5,,1,a
117,430.46875,319.5,449.46875,403.5,,1,n
118,449.515625,319.5,457.515625,403.5,,1,","
119,457.3125,319.5,465.3125,403.5,,1, 
120,464.890625,319.5,488.890625,403.5,,1,w
121,488.4375,319.5,507.4375,403.5,,1,h
122,507.59375,319.5,525.59375,403.5,,1,o
123,525.390625,319.5,533.390625,403.5,,1, 
124,532.9375,319.5,551.9375,403.5,,1,h
125,551.765625,319.5,568.765625,403.5,,1,a
126,569.21875,319.5,587.21875,403.5,,1,d
127,587.015625,319.5,595.015625,403.5,,1, 
128,595.46875,319.5,613.46875,403.5,,1,b
129,613.390625,319.5,630.390625,403.5,,1,e
130,630.3125,319.5,647.3125,403.5,,1,e
131,646.859375,319.5,665.859375,403.5,,1,n
132,665.65625,319.5,673.65625,403.5,,1, 
133,673.8125,319.5,691.8125,403.5,,1,o
134,691.359375,319.5,710.359375,403.5,,1,u
135,710.1875,319.5,721.1875,403.5,,1,t
136,720.984375,319.5,728.984375,403.5,,1, 
137,728.71875,319.5,736.71875,403.5,,1,i
138,736.265625,319.5,755.265625,403.5,,1,n
139,755.0625,319.5,763.0625,403.5,,1, 
140,762.890625,319.5,773.890625,403.5,,1,t
141,773.4375,319.5,792.4375,403.5,,1,h
142,792.359375,319.5,809.359375,403.5,,1,e
143,809.15625,319.5,817.15625,403.5,,1, 
144,816.65625,319.5,836.65625,403.5,,1,B
145,836.484375,319.5,853.484375,403.5,,1,a
146,853.21875,319.5,861.21875,403.5,,1,l
147,861.046875,319.5,872.046875,403.5,,1,t
148,871.78125,319.5,879.78125,403.5,,1,i
149,880.1875,319.5,894.1875,403.5,,1,c
150,893.984375,319.5,901.984375,403.5,,1, 
151,902.453125,319.5,918.453125,403.5,,1,S
152,918.375,319.5,935.375,403.5,,1,e
153,935.203125,319.5,952.203125,403.5,,1,a
